split_month,feature,beta_hat,coef_y_units_per_stdX,coef_y_units_per_rawX,beta_se,beta_ci_lo,beta_ci_hi,coef_std_se,coef_std_ci_lo,coef_std_ci_hi,coef_raw_se,coef_raw_ci_lo,coef_raw_ci_hi
2024-11,g_fever,8.787226676940918,8787.226676940918,42438.36693758481,5.213400779832451,-1.4308510885037151,19.00530444238555,5213.400779832451,-1430.8510885037151,19005.30444238555,25178.389430627856,-6910.369535169724,91787.10341033935
2024-11,g_vaccine,-0.504430890083313,-504.430890083313,-2268.0230494036487,3.7334768439443775,-7.821911041328558,6.813049261161932,3733.4768439443774,-7821.911041328558,6813.049261161932,16786.465109387147,-35168.89009154067,30632.84399273337
2024-11,wiki_views,-0.8606647253036499,-860.6647253036499,-1079.1212127122876,2.6579228378004953,-6.070097761079115,4.348768310471815,2657.9228378004955,-6070.097761079115,4348.768310471815,3332.564739435583,-7610.828078154138,5452.585652729562
2024-11,mosq_total_monthly_views,3.4760324954986572,3476.032495498657,10062.88172158045,3.1154045467627136,-2.63004821342859,9.582113204425905,3115.404546762714,-2630.04821342859,9582.113204425905,9018.887915905345,-7613.813774197528,27739.577217358426
2024-11,x_tilde_lag1,2.2831852436065674,2283.1852436065674,114.68506905506345,6.093035413533981,-9.658944723447146,14.22531521066028,6093.035413533981,-9658.944723447146,14225.315210660281,306.05496821286556,-485.1716459317039,714.5417840418307
2024-11,x_tilde_lag2,3.5470049381256104,3547.0049381256104,181.34073364683195,4.723932018612857,-5.711731683771182,12.805741560022403,4723.932018612857,-5711.731683771182,12805.741560022403,241.51116586990184,-292.01245332245463,654.6939206161185
2024-11,x_tilde_lag12,4.661959171295166,4661.959171295166,223.04087366865625,5.357095581747123,-5.83775523066784,15.161673573258172,5357.095581747122,-5837.75523066784,15161.673573258173,256.2981002142556,-279.29417205732204,725.3759193946346
2024-11,s_sin1,-4.80733585357666,-4807.33585357666,-6727.408126101443,3.7028085421552426,-12.064707237848197,2.4500355306948753,3702.808542155243,-12064.707237848197,2450.0355306948754,5181.727475387378,-16883.407355562358,3428.591103359474
2024-11,s_cos1,-2.914140462875366,-2914.140462875366,-4167.7007387625645,3.9677655637617626,-10.690818066946681,4.862537141195949,3967.7655637617627,-10690.818066946682,4862.537141195949,5674.558135406462,-15289.630312337988,6954.2288348128595
2024-11,s_sin2,-1.9666221141815186,-1966.6221141815186,-2752.1001225808304,3.0625720514166312,-7.969153035017064,4.035908806654027,3062.5720514166314,-7969.153035017064,4035.908806654027,4285.77755601216,-11152.069778114756,5647.869532953095
2024-11,s_cos2,0.3096286952495575,309.6286952495575,442.820021331573,4.0082869511106285,-7.546469368629132,8.165726759128248,4008.2869511106287,-7546.469368629132,8165.726759128248,5732.510392046458,-10792.693888081067,11678.333930744211
2024-11,intercept,18.031999588012695,18031.999588012695,-79035.16616906262,0.5126144296052919,17.02729376803078,19.03670540799461,512.6144296052919,17027.29376803078,19036.70540799461,60474.95771515068,-197563.90525734058,39493.57291921535
2024-12,g_fever,8.682759284973145,8682.759284973145,42224.3219845058,2.661566951958958,3.4661839166915405,13.899334653254748,2661.566951958958,3466.1839166915406,13899.334653254748,12943.219577367598,16856.077768871575,67592.56620014002
2024-12,g_vaccine,0.06575943529605865,65.75943529605865,298.52142285636825,1.9639251378621068,-3.78346310324653,3.914981973838647,1963.9251378621068,-3783.46310324653,3914.9819738386473,8915.431282195394,-17175.402796888353,17772.445642601087
2024-12,wiki_views,-4.108676433563232,-4108.676433563232,-5074.3283074047395,1.249526295344383,-6.557702970173981,-1.6596498969524838,1249.526295344383,-6557.702970173981,-1659.6498969524837,1543.1993134133954,-8098.943382661932,-2049.7132321475465
2024-12,mosq_total_monthly_views,4.115529537200928,4115.529537200928,11100.698617483517,1.5799341068120631,1.018915589902826,7.2121434844990295,1579.9341068120632,1018.9155899028259,7212.14348449903,4261.510504704577,2748.29150852344,19453.105726443595
2024-12,x_tilde_lag1,0.6492965221405029,649.2965221405029,32.86640979342974,3.192320485057013,-5.607536655680676,6.9061296999616815,3192.320485057013,-5607.536655680676,6906.129699961682,161.59044392839093,-283.8450405520554,349.5778601389149
2024-12,x_tilde_lag2,3.409467935562134,3409.467935562134,171.25858128502634,2.391210515996648,-1.2772185552447342,8.096154426369,2391.210515996648,-1277.2185552447343,8096.154426369001,120.11121038916683,-64.15506521725374,406.6722277873064
2024-12,x_tilde_lag12,4.508222579956055,4508.222579956055,218.69372430626987,2.7601122093914054,-0.9014979437403747,9.917943103652483,2760.1122093914055,-901.4979437403747,9917.943103652484,133.89294957590522,-43.731634646341774,481.1190832588815
2024-12,s_sin1,-6.2431721687316895,-6243.172168731689,-8829.178904355565,2.0727554313305068,-10.305698162899265,-2.180646174564113,2072.755431330507,-10305.698162899265,-2180.6461745641127,2931.3188926374833,-14574.458361126864,-3083.8994475842665
2024-12,s_cos1,-0.7769213318824768,-776.9213318824768,-1098.7327032491764,2.075723204136441,-4.845264053863983,3.2914213900990292,2075.723204136441,-4845.264053863983,3291.4213900990294,2935.515957261507,-6852.238255524349,4654.772849025996
2024-12,s_sin2,-2.326002359390259,-2326.002359390259,-3289.464139058303,1.5831460036678902,-5.428911508847839,0.7769067900673212,1583.1460036678902,-5428.911508847838,776.9067900673213,2238.9065879211503,-7677.640416133216,1098.71213801661
2024-12,s_cos2,0.8880199193954468,888.0199193954468,1255.849835159458,2.156727827123304,-3.3390889462215556,5.115128785012449,2156.727827123304,-3339.0889462215555,5115.128785012449,3050.0737956650223,-4722.184954533363,7233.88462485228
