split_month,feature,beta_hat,coef_y_units_per_stdX,coef_y_units_per_rawX,beta_se,beta_ci_lo,beta_ci_hi,coef_std_se,coef_std_ci_lo,coef_std_ci_hi,coef_raw_se,coef_raw_ci_lo,coef_raw_ci_hi
2024-11,g_fever,8.77468204498291,8774.68204498291,42377.78198698511,5.247007037643239,-1.5092627754260342,19.058626865391854,5247.007037643239,-1509.262775426034,19058.626865391856,25340.692595529228,-7289.062843552987,92044.62681752321
2024-11,g_vaccine,-0.5207036137580872,-520.7036137580872,-2341.18849802411,3.7427936677890887,-7.85644440418927,6.815037176673096,3742.793667789089,-7856.44440418927,6815.037176673096,16828.355429037376,-35324.159057976445,30641.78206192823
2024-11,wiki_views,-0.8508864045143127,-850.8864045143127,-1066.8609293775007,2.672262216719491,-6.088424106531682,4.3866512975030565,2672.2622167194913,-6088.424106531682,4386.651297503056,3350.543782277322,-7633.806071265662,5500.08421251066
2024-11,mosq_total_monthly_views,3.452707529067993,3452.707529067993,9995.357502904257,3.138563874597696,-2.6987646283219755,9.604179686457961,3138.563874597696,-2698.7646283219756,9604.179686457961,9085.932621919033,-7812.743202014628,27803.45820782314
2024-11,x_tilde_lag1,2.3159544467926025,2315.9544467926025,116.00754968522358,6.107820577031122,-9.655153908221044,14.287062801806249,6107.8205770311215,-9655.153908221044,14287.062801806249,305.9444023347066,-483.6324601624332,715.6475595328803
2024-11,x_tilde_lag2,3.514516592025757,3514.516592025757,179.15022982252,4.728139807745168,-5.752467145024905,12.781500329076419,4728.139807745169,-5752.467145024905,12781.500329076418,241.0138950865834,-293.2283243208984,651.5287839659384
2024-11,x_tilde_lag12,4.587617874145508,4587.617874145508,218.76386469278614,5.373961184441723,-5.945152501676477,15.120388249967492,5373.961184441723,-5945.152501676476,15120.388249967493,256.2612121735329,-283.49888180191545,721.0266111874877
2024-11,s_sin1,-4.86056661605835,-4860.56661605835,-6801.899502403238,3.698897731106545,-12.110272951524097,2.3891397194073978,3698.897731106545,-12110.272951524097,2389.139719407398,5176.254668238054,-16947.172226957147,3343.3732221506716
2024-11,s_cos1,-2.853983163833618,-2853.983163833618,-4081.6658949201806,3.96718155323269,-10.62951612830136,4.921549800634123,3967.18155323269,-10629.51612830136,4921.549800634123,5673.722904179804,-15201.958445372593,7038.626655532231
2024-11,s_sin2,-1.9726802110671997,-1972.6802110671997,-2760.5778515057023,3.074174691447223,-7.997951888488289,4.052591466353889,3074.1746914472233,-7997.951888488289,4052.5914663538892,4302.014344371342,-11192.371027448224,5671.215324436818
2024-11,s_cos2,0.2893289029598236,289.3289029598236,413.7879755532536,4.028778536950054,-7.6069319311502515,8.185589737069899,4028.7785369500543,-7606.931931150251,8185.589737069899,5761.8167341838325,-10879.165308967247,11706.741260073755
2024-11,intercept,18.031875610351562,18031.875610351562,-78411.78962828006,0.5137433745534349,17.02495709893076,19.038794121772366,513.7433745534349,17024.957098930758,19038.794121772367,60872.73214856569,-197720.15228002227,40896.573023462144
2024-12,g_fever,8.67764663696289,8677.64663696289,42199.45913979328,2.683510692378315,3.4180623277732503,13.937230946152532,2683.510692378315,3418.06232777325,13937.230946152531,13049.932147715474,16622.062129579524,67776.85615000704
2024-12,g_vaccine,0.05185838043689728,51.85838043689728,235.41621738922206,1.971576770475492,-3.8123610824508583,3.916077843324653,1971.5767704754921,-3812.3610824508582,3916.077843324653,8950.166620852702,-17306.588015114627,17777.42044989307
2024-12,wiki_views,-4.097373962402344,-4097.373962402344,-5060.369444913934,1.2572739165248472,-6.561585557492662,-1.6331623673120257,1257.2739165248472,-6561.585557492662,-1633.1623673120257,1552.7678384863186,-8103.7384846992245,-2017.0004051286428
2024-12,mosq_total_monthly_views,4.0943474769592285,4094.3474769592285,11043.564859915978,1.5923748689770199,0.973350083877583,7.215344870040874,1592.3748689770198,973.3500838775831,7215.344870040874,4295.066612154824,2625.3889888920603,19461.740730939895
