date,WHO_obs,WHO_pred,WHO_nowcast,is_nowcast,n_features_missing
2010-11-01,,11492.461572978043,11492.461572978043,True,3
2010-12-01,,9463.568876312433,9463.568876312433,True,3
2011-01-01,,2385.5323733176083,2385.5323733176083,True,3
2011-02-01,,3280.9261419496706,3280.9261419496706,True,3
2011-03-01,,3654.7613712971906,3654.7613712971906,True,3
2011-04-01,,2011.8210226499232,2011.8210226499232,True,3
2011-05-01,,2061.6479276767877,2061.6479276767877,True,3
2011-06-01,,3125.108045300318,3125.108045300318,True,3
2011-07-01,,5904.760169222496,5904.760169222496,True,3
2011-08-01,,6195.65517992994,6195.65517992994,True,3
2011-09-01,,12427.10811734761,12427.10811734761,True,3
2011-10-01,,21009.413221628914,21009.413221628914,True,3
2011-11-01,,6762.357209334939,6762.357209334939,True,3
2011-12-01,,8412.434573280634,8412.434573280634,True,3
2012-01-01,,1334.398070285808,1334.398070285808,True,3
2012-02-01,,2755.3589904337696,2755.3589904337696,True,3
2012-03-01,,3129.1942197812878,3129.1942197812878,True,3
2012-04-01,,2011.8210226499232,2011.8210226499232,True,3
2012-05-01,,3112.782230708588,3112.782230708588,True,3
2012-06-01,,5227.376651363917,5227.376651363917,True,3
2012-07-01,,6955.894472254293,6955.894472254293,True,3
2012-08-01,,8823.49093750944,8823.49093750944,True,3
2012-09-01,,20310.615390086117,20310.615390086117,True,3
2012-10-01,,49390.03940348753,49390.03940348753,True,3
2012-11-01,,27259.476118455048,27259.476118455048,True,3
2012-12-01,,13668.106088439634,13668.106088439634,True,3
2013-01-01,,3962.233827865308,3962.233827865308,True,3
2013-02-01,,4857.62759649737,4857.62759649737,True,3
2013-03-01,,4705.895674328989,4705.895674328989,True,3
2013-04-01,,2537.3881741658242,2537.3881741658242,True,3
2013-05-01,,3112.782230708588,3112.782230708588,True,3
2013-06-01,,6804.078105911616,6804.078105911616,True,3
2013-07-01,,9058.163078317895,9058.163078317895,True,3
2013-08-01,,9349.05808902534,9349.05808902534,True,3
2013-09-01,,29245.25696585642,29245.25696585642,True,3
2013-10-01,,38878.69637316952,38878.69637316952,True,3
2013-11-01,,13594.730179041644,13594.730179041644,True,3
2013-12-01,,9463.568876312433,9463.568876312433,True,3
2014-01-01,,1859.9652218017072,1859.9652218017072,True,3
2014-02-01,,3280.9261419496706,3280.9261419496706,True,3
2014-03-01,,4180.32852281309,4180.32852281309,True,3
2014-04-01,,3062.9553256817235,3062.9553256817235,True,3
2014-05-01,,3112.782230708588,3112.782230708588,True,3
2014-06-01,,3650.675196816217,3650.675196816217,True,3
2014-07-01,,6955.894472254293,6955.894472254293,True,3
2014-08-01,,6721.222331445838,6721.222331445838,True,3
2014-09-01,,15580.511026443011,15580.511026443011,True,3
2014-10-01,,27841.78619133562,27841.78619133562,True,3
2014-11-01,,17799.267391168847,17799.267391168847,True,3
2014-12-01,,10514.703179344233,10514.703179344233,True,3
2015-01-01,,2911.0995248335075,2911.0995248335075,True,3
2015-02-01,,4857.62759649737,4857.62759649737,True,3
2015-03-01,,4180.32852281309,4180.32852281309,True,3
2015-04-01,,2537.3881741658242,2537.3881741658242,True,3
2015-05-01,,2587.215079192689,2587.215079192689,True,3
2015-06-01,,5227.376651363917,5227.376651363917,True,3
2015-07-01,,10634.864532865597,10634.864532865597,True,3
2015-08-01,,16706.998210247944,16706.998210247944,True,3
2015-09-01,,58677.017450746825,58677.017450746825,True,3
2015-10-01,,48338.90510045573,48338.90510045573,True,3
2015-11-01,,23054.938906327847,23054.938906327847,True,3
2015-12-01,,15244.807542987335,15244.807542987335,True,3
2016-01-01,,3962.233827865308,3962.233827865308,True,3
2016-02-01,,4332.060444981471,4332.060444981471,True,3
2016-03-01,,4705.895674328989,4705.895674328989,True,3
2016-04-01,,3062.9553256817235,3062.9553256817235,True,3
2016-05-01,,3112.782230708588,3112.782230708588,True,3
2016-06-01,,6278.510954395715,6278.510954395715,True,3
2016-07-01,,14313.834593476899,14313.834593476899,True,3
2016-08-01,,26167.206937534145,26167.206937534145,True,3
2016-09-01,,47640.10726891293,47640.10726891293,True,3
2016-10-01,,41506.53213074902,41506.53213074902,True,3
2016-11-01,,16222.565936621144,16222.565936621144,True,3
2016-12-01,,10514.703179344233,10514.703179344233,True,3
2017-01-01,,2385.5323733176083,2385.5323733176083,True,3
2017-02-01,,4332.060444981471,4332.060444981471,True,3
2017-03-01,,4705.895674328989,4705.895674328989,True,3
2017-04-01,,3588.5224771976245,3588.5224771976245,True,3
2017-05-01,,4163.916533740388,4163.916533740388,True,3
2017-06-01,,8380.779560459316,8380.779560459316,True,3
2017-07-01,,17467.237502572298,17467.237502572298,True,3
2017-08-01,,22488.23687692284,22488.23687692284,True,3
2017-09-01,,35552.06278404722,35552.06278404722,True,3
2017-10-01,,62529.21819138503,62529.21819138503,True,3
2017-11-01,,26208.34181542325,26208.34181542325,True,3
2017-12-01,,13142.538936923733,13142.538936923733,True,3
2018-01-01,,3962.233827865308,3962.233827865308,True,3
2018-02-01,,4857.62759649737,4857.62759649737,True,3
2018-03-01,,5757.029977360789,5757.029977360789,True,3
2018-04-01,,3062.9553256817235,3062.9553256817235,True,3
2018-05-01,,3112.782230708588,3112.782230708588,True,3
2018-06-01,,4701.809499848017,4701.809499848017,True,3
2018-07-01,,8532.595926801994,8532.595926801994,True,3
2018-08-01,,13028.028149636642,13028.028149636642,True,3
2018-09-01,,22938.45114766562,22938.45114766562,True,3
2018-10-01,,35725.29346407412,35725.29346407412,True,3
2018-11-01,,16222.565936621144,16222.565936621144,True,3
