feature,coef
Google_Trends_Dengue_fever,7063.514961474259
m_10,3843.089975516543
x_tilde_lag1,3317.9082276691634
m_9,2131.3003943135864
Google_Trends_Dengue_vaccine,1782.9724334154098
m_12,1255.3970698830205
m_7,1011.7068581848756
m_3,818.1474811290825
m_8,642.0634952160949
m_2,559.5874759921153
m_6,514.7929227117329
m_5,360.15956723138146
m_4,345.8353391730378
m_11,254.83743577220415
x_tilde_lag2,-45.34345763605563
