epoch,L_total,L_who,L_year,L_reg
1,57875.58203125,391.1684875488281,57484.4140625,0.0
2,53329.23046875,363.9490661621094,52965.28125,0.0014999997802078724
3,48976.5859375,337.9669494628906,48638.6171875,0.005992233753204346
4,44820.73046875,313.2401428222656,44507.4921875,0.01345660351216793
5,40864.33203125,289.7837219238281,40574.546875,0.02386106178164482
6,37109.4765625,267.6092529296875,36841.8671875,0.03716079145669937
7,33557.73046875,246.72442626953125,33311.0078125,0.05329740419983864
8,30210.029296875,227.1331024169922,29982.896484375,0.07219820469617844
9,27066.6484375,208.83465576171875,26857.814453125,0.09377553313970566
10,24127.169921875,191.82398986816406,23935.345703125,0.11792616546154022
11,21390.423828125,176.09100341796875,21214.33203125,0.14453090727329254
12,18854.47265625,161.6206817626953,18692.8515625,0.17345421016216278
13,16516.58203125,148.39266967773438,16368.189453125,0.20454412698745728
14,14373.1826171875,136.38131713867188,14236.8017578125,0.23763230443000793
15,12419.8818359375,125.5555191040039,12294.326171875,0.2725343406200409
16,10651.44140625,115.87883758544922,10535.5625,0.3090503513813019
17,9061.8046875,107.30941772460938,8954.4951171875,0.3469657599925995
18,7644.107421875,99.8002700805664,7544.306640625,0.38605251908302307
19,6390.71826171875,93.2995376586914,6297.41845703125,0.42607054114341736
20,5293.29345703125,87.75074005126953,5205.5419921875,0.46676963567733765
21,4342.83056640625,83.09332275390625,4259.73681640625,0.5078914165496826
22,3529.761474609375,79.26316833496094,3450.497802734375,0.5491722822189331
23,2844.03662109375,76.1932144165039,2767.843017578125,0.5903454422950745
24,2275.24365234375,73.8141860961914,2201.4287109375,0.6311444044113159
25,1812.7117919921875,72.0553970336914,1740.65576171875,0.6713062524795532
26,1445.6448974609375,70.84557342529297,1374.798583984375,0.7105745077133179
27,1163.2537841796875,70.11371612548828,1093.1392822265625,0.7487026453018188
28,954.8862915039062,69.79002380371094,885.095458984375,0.7854579091072083
29,810.1644287109375,69.8067398071289,740.3568725585938,0.8206234574317932
30,719.1052856445312,70.09899139404297,649.0054321289062,0.8540019989013672
31,672.2396850585938,70.60552978515625,601.6332397460938,0.885418176651001
32,660.7173461914062,71.26947784423828,589.4469604492188,0.9147206544876099
33,676.394775390625,72.03881072998047,604.3550415039062,0.9417839050292969
34,711.9037475585938,72.86690521240234,639.035888671875,0.9665091633796692
35,760.7001342773438,73.71271514892578,686.9864501953125,0.9888253808021545
36,817.0960693359375,74.54108428955078,742.553955078125,1.008689045906067
37,876.2620239257812,75.32272338867188,800.938232421875,1.0260839462280273
38,934.2251586914062,76.0340805053711,858.1900634765625,1.041020154953003
39,987.8277587890625,76.6572036743164,911.1694946289062,1.053532600402832
40,1034.69287109375,77.17937469482422,957.512451171875,1.0636792182922363
41,1073.1517333984375,77.59265899658203,995.5579833984375,1.0715394020080566
42,1102.1884765625,77.89351654052734,1024.2938232421875,1.077210783958435
43,1121.350830078125,78.08220672607422,1043.267578125,1.0808075666427612
44,1130.6748046875,78.1622543334961,1052.511474609375,1.0824576616287231
45,1130.595703125,78.1398696899414,1052.4547119140625,1.0822997093200684
46,1121.868408203125,78.02336883544922,1043.843994140625,1.0804812908172607
47,1105.488037109375,77.82266235351562,1027.664306640625,1.077155590057373
48,1082.609130859375,77.54873657226562,1005.059326171875,1.0724799633026123
49,1054.4842529296875,77.213134765625,977.27001953125,1.0666128396987915
50,1022.3975219726562,76.82760620117188,945.5689086914062,1.0597118139266968
51,987.6129150390625,76.4037094116211,911.2081909179688,1.051932454109192
52,951.3313598632812,75.95252227783203,875.3778076171875,1.0434261560440063
53,914.6577758789062,75.48435974121094,839.17236328125,1.0343389511108398
54,878.56884765625,75.0086441040039,803.5591430664062,1.0248100757598877
55,843.902587890625,74.53372955322266,769.3677978515625,1.0149712562561035
56,811.3405151367188,74.0668716430664,737.2726440429688,1.0049458742141724
57,781.4111938476562,73.61408996582031,707.796142578125,0.994848370552063
58,754.4893798828125,73.18029022216797,681.30810546875,0.9847838282585144
59,730.8036499023438,72.76924896240234,658.033447265625,0.9748474955558777
60,710.451904296875,72.38371276855469,638.0671997070312,0.965125322341919
61,693.4100952148438,72.02542877197266,621.3836669921875,0.9556930661201477
62,679.5574951171875,71.6953353881836,607.8612060546875,0.946617066860199
63,668.6879272460938,71.39361572265625,597.2933959960938,0.9379542469978333
64,660.533935546875,71.1198501586914,589.4131469726562,0.9297526478767395
65,654.78173828125,70.87308502197266,583.90771484375,0.922051191329956
66,651.0906372070312,70.65206909179688,580.4376220703125,0.9148808121681213
67,649.1096801757812,70.45523834228516,578.6535034179688,0.9082644581794739
68,648.4888305664062,70.28083038330078,578.2070922851562,0.9022175073623657
69,648.8948974609375,70.12708282470703,578.7669067382812,0.8967487812042236
70,650.01806640625,69.99211883544922,580.0250244140625,0.8918605446815491
71,651.58056640625,69.87419891357422,581.7054443359375,0.8875491619110107
72,653.3426513671875,69.7716064453125,583.5701904296875,0.883805513381958
73,655.1032104492188,69.68277740478516,585.4195556640625,0.8806160092353821
74,656.7042846679688,69.60628509521484,587.09716796875,0.877962589263916
75,658.0260009765625,69.54084014892578,588.4843139648438,0.8758232593536377
76,658.9861450195312,69.48531341552734,589.5,0.8741727471351624
77,659.539794921875,69.43869018554688,590.1002197265625,0.8729829788208008
78,659.6682739257812,69.40010070800781,590.267333984375,0.8722235560417175
79,659.3822021484375,69.3687744140625,590.0125732421875,0.8718620538711548
80,658.7107543945312,69.34403228759766,589.3658447265625,0.8718645572662354
81,657.7001342773438,69.32526397705078,588.3740234375,0.8721960783004761
