year,pred_year_total,od_total,od_source
2021,201072.34594726562,193245.0,OpenDengue_State_Aggregated
2022,225042.72802734375,233251.0,OpenDengue_State_Aggregated
2023,294057.63916015625,289235.0,OpenDengue_State_Aggregated
2024,228650.4169921875,233519.0,OpenDengue_State_Aggregated
