split_month,feature,beta_hat,coef_y_units_per_stdX,coef_y_units_per_rawX
2024-11,g_fever,8.768842697143555,8768.842697143555,42349.5805537692
2024-11,g_vaccine,-0.5177690982818604,-517.7690982818604,-2327.9943244123097
2024-11,wiki_views,-0.8454972505569458,-845.4972505569458,-1060.1038842901523
2024-11,mosq_total_monthly_views,3.453484535217285,3453.484535217285,9997.606883768041
2024-11,x_tilde_lag1,2.316817045211792,2316.817045211792,115.84750320405281
2024-11,x_tilde_lag2,3.520991325378418,3520.991325378418,179.14750864991797
2024-11,x_tilde_lag12,4.601734638214111,4601.734638214111,218.9772556783202
2024-11,s_sin1,-4.856407642364502,-4856.407642364502,-6796.079415295445
2024-11,s_cos1,-2.867753744125366,-2867.753744125366,-4101.360092364074
2024-11,s_sin2,-1.9715847969055176,-1971.5847969055176,-2759.044923839069
2024-11,s_cos2,0.28781989216804504,287.81989216804504,411.6298416294376
2024-11,intercept,18.031896591186523,18031.896591186523,-78487.12982237087
2024-12,g_fever,8.675825119018555,8675.825119018555,42190.60108469146
2024-12,g_vaccine,0.05266305431723595,52.66305431723595,239.06911359510616
2024-12,wiki_views,-4.0940704345703125,-4094.0704345703125,-5056.289497255988
2024-12,mosq_total_monthly_views,4.093865871429443,4093.8658714294434,11042.265839269829
2024-12,x_tilde_lag1,0.6817773580551147,681.7773580551147,34.3552566525836
2024-12,x_tilde_lag2,3.383828639984131,3383.828639984131,169.2011299017974
2024-12,x_tilde_lag12,4.451911926269531,4451.911926269531,214.79861330122452
2024-12,s_sin1,-6.279641151428223,-6279.641151428223,-8880.753835173618
2024-12,s_cos1,-0.7390439510345459,-739.0439510345459,-1045.1659966301065
2024-12,s_sin2,-2.330840587615967,-2330.840587615967,-3296.306427150056
2024-12,s_cos2,0.8678104281425476,867.8104281425476,1227.2692980518125
2024-12,intercept,18.260725021362305,18260.725021362305,-52960.93393804136
2025-01,g_fever,7.320096015930176,7320.096015930176,35746.99559249021
2025-01,g_vaccine,0.2573999762535095,257.3999762535095,1177.8846678376992
2025-01,wiki_views,-3.8601632118225098,-3860.1632118225098,-4688.9129438319815
2025-01,mosq_total_monthly_views,4.2569499015808105,4256.949901580811,10758.0232979293
2025-01,x_tilde_lag1,0.8814113736152649,881.4113736152649,44.87732184360906
2025-01,x_tilde_lag2,3.848240375518799,3848.240375518799,193.9156484247658
2025-01,x_tilde_lag12,4.812763214111328,4812.763214111328,233.7795199136657
2025-01,s_sin1,-6.1692094802856445,-6169.2094802856445,-8770.359413691254
2025-01,s_cos1,-1.0796359777450562,-1079.6359777450562,-1519.5749250690164
2025-01,s_sin2,-1.885019302368164,-1885.019302368164,-2653.1424704208544
2025-01,s_cos2,0.8317044973373413,831.7044973373413,1182.379588655849
2025-01,intercept,18.044097900390625,18044.097900390625,-53248.91854597861
2025-02,g_fever,7.179525375366211,7179.525375366211,35184.55427998113
2025-02,g_vaccine,0.11394940316677094,113.94940316677094,524.8060445019829
2025-02,wiki_views,-2.5196852684020996,-2519.6852684020996,-2972.4629546996052
2025-02,mosq_total_monthly_views,2.968363046646118,2968.363046646118,7074.190917721065
2025-02,x_tilde_lag1,1.2571496963500977,1257.1496963500977,64.28256617064105
2025-02,x_tilde_lag2,4.629636764526367,4629.636764526367,235.71933074617235
2025-02,x_tilde_lag12,4.079158306121826,4079.158306121826,199.56392561657648
2025-02,s_sin1,-5.245524883270264,-5245.524883270264,-7423.835114412119
2025-02,s_cos1,-1.8063348531723022,-1806.3348531723022,-2556.4519108727827
