split_month,feature,beta_hat,coef_y_units_per_stdX,coef_y_units_per_rawX
2024-11,g_fever,8.509382247924805,8509.382247924805,41096.502858774635
2024-11,g_vaccine,-0.3646184504032135,-364.6184504032135,-1639.3981138144536
2024-11,wiki_views,-1.0368901491165161,-1036.890149116516,-1300.0766991690887
2024-11,mosq_total_monthly_views,3.6543846130371094,3654.3846130371094,10579.19918003545
2024-11,x_tilde_lag1,1.7303024530410767,1730.3024530410767,86.67188945344678
2024-11,x_tilde_lag2,3.7934935092926025,3793.4935092926025,193.37089930432944
2024-11,x_tilde_lag12,4.181954860687256,4181.954860687256,199.41953152868658
2024-11,s_sin1,-3.6382014751434326,-3638.2014751434326,-5091.3160456772075
2024-11,s_cos1,-3.191694736480713,-3191.694736480713,-4564.649055389121
2024-11,s_sin1_t,-3.6003577709198,-3600.3577709198,-3908.3629509275893
2024-11,s_cos1_t,-0.7850250601768494,-785.0250601768494,-880.7683974143777
2024-11,s_sin2,0.3929232656955719,392.9232656955719,549.8586433498398
2024-11,s_cos2,-1.7146761417388916,-1714.6761417388916,-2452.269241549376
2024-11,s_sin2_t,-4.154000759124756,-4154.000759124756,-4445.608463299917
2024-11,s_cos2_t,2.605435371398926,2605.435371398926,2931.937942546241
2024-11,intercept,18.036945343017578,18036.945343017578,-81793.46974518296
2024-12,g_fever,8.755245208740234,8755.245208740234,42576.8215625815
2024-12,g_vaccine,0.04563950002193451,45.63950002193451,207.18499822363478
2024-12,wiki_views,-4.3756489753723145,-4375.648975372314,-5404.046733303456
2024-12,mosq_total_monthly_views,4.391144752502441,4391.144752502441,11844.107554729484
2024-12,x_tilde_lag1,-0.3084111511707306,-308.4111511707306,-15.568164536962536
2024-12,x_tilde_lag2,3.6766724586486816,3676.6724586486816,184.16671483486587
2024-12,x_tilde_lag12,4.532697677612305,4532.697677612305,219.15313881183212
2024-12,s_sin1,-4.584572792053223,-4584.572792053223,-6483.565131169846
2024-12,s_cos1,-2.8289411067962646,-2828.9411067962646,-4000.726948855557
2024-12,s_sin1_t,-3.7074131965637207,-3707.4131965637207,-4065.907366971117
2024-12,s_cos1_t,2.3827993869781494,2382.7993869781494,2638.315986212058
2024-12,s_sin2,-1.3398023843765259,-1339.8023843765259,-1894.7667353126449
2024-12,s_cos2,-1.2329696416854858,-1232.9696416854858,-1743.682419107763
2024-12,s_sin2_t,-1.3147655725479126,-1314.7655725479126,-1421.8587068058025
2024-12,s_cos2_t,3.213212490081787,3213.212490081787,3567.9172070620307
2024-12,intercept,18.261886596679688,18261.886596679688,-57380.557134422445
2025-01,g_fever,7.941166400909424,7941.166400909424,38779.933994686595
2025-01,g_vaccine,0.13300293684005737,133.00293684005737,608.6330012983187
2025-01,wiki_views,-3.9292092323303223,-3929.2092323303223,-4772.78265646165
