resolution,date,value,source
Monthly,2020-09,17,Google_Trends_Dengue_fever
Monthly,2020-10,20,Google_Trends_Dengue_fever
Monthly,2020-11,16,Google_Trends_Dengue_fever
Monthly,2020-12,8,Google_Trends_Dengue_fever
Monthly,2021-01,6,Google_Trends_Dengue_fever
Monthly,2021-02,5,Google_Trends_Dengue_fever
Monthly,2021-03,7,Google_Trends_Dengue_fever
Monthly,2021-04,9,Google_Trends_Dengue_fever
Monthly,2021-05,8,Google_Trends_Dengue_fever
Monthly,2021-06,8,Google_Trends_Dengue_fever
Monthly,2021-07,14,Google_Trends_Dengue_fever
Monthly,2021-08,27,Google_Trends_Dengue_fever
Monthly,2021-09,43,Google_Trends_Dengue_fever
Monthly,2021-10,69,Google_Trends_Dengue_fever
Monthly,2021-11,50,Google_Trends_Dengue_fever
Monthly,2021-12,16,Google_Trends_Dengue_fever
Monthly,2022-01,13,Google_Trends_Dengue_fever
Monthly,2022-02,9,Google_Trends_Dengue_fever
Monthly,2022-03,9,Google_Trends_Dengue_fever
Monthly,2022-04,8,Google_Trends_Dengue_fever
Monthly,2022-05,9,Google_Trends_Dengue_fever
Monthly,2022-06,11,Google_Trends_Dengue_fever
Monthly,2022-07,18,Google_Trends_Dengue_fever
Monthly,2022-08,25,Google_Trends_Dengue_fever
Monthly,2022-09,43,Google_Trends_Dengue_fever
Monthly,2022-10,64,Google_Trends_Dengue_fever
Monthly,2022-11,54,Google_Trends_Dengue_fever
Monthly,2022-12,18,Google_Trends_Dengue_fever
Monthly,2023-01,12,Google_Trends_Dengue_fever
Monthly,2023-02,12,Google_Trends_Dengue_fever
Monthly,2023-03,10,Google_Trends_Dengue_fever
Monthly,2023-04,9,Google_Trends_Dengue_fever
Monthly,2023-05,9,Google_Trends_Dengue_fever
Monthly,2023-06,14,Google_Trends_Dengue_fever
Monthly,2023-07,24,Google_Trends_Dengue_fever
Monthly,2023-08,55,Google_Trends_Dengue_fever
Monthly,2023-09,77,Google_Trends_Dengue_fever
Monthly,2023-10,80,Google_Trends_Dengue_fever
Monthly,2023-11,42,Google_Trends_Dengue_fever
Monthly,2023-12,19,Google_Trends_Dengue_fever
Monthly,2024-01,12,Google_Trends_Dengue_fever
Monthly,2024-02,11,Google_Trends_Dengue_fever
Monthly,2024-03,9,Google_Trends_Dengue_fever
Monthly,2024-04,9,Google_Trends_Dengue_fever
Monthly,2024-05,11,Google_Trends_Dengue_fever
Monthly,2024-06,17,Google_Trends_Dengue_fever
Monthly,2024-07,39,Google_Trends_Dengue_fever
Monthly,2024-08,43,Google_Trends_Dengue_fever
Monthly,2024-09,49,Google_Trends_Dengue_fever
Monthly,2024-10,48,Google_Trends_Dengue_fever
