split_month,g_fever,g_vaccine,intercept,mosq_total_monthly_views,s_cos1,s_cos2,s_sin1,s_sin2,wiki_views,x_tilde_lag1,x_tilde_lag12,x_tilde_lag2
2025-02,3672.4228858947754,-3178.4095764160156,17832.427978515625,885.7917189598083,-1736.497163772583,-1040.1978492736816,-5041.162014007568,-105.32426834106445,3333.51731300354,1694.615125656128,6632.723808288574,1857.9456806182861
2025-03,3664.078950881958,-2852.992296218872,17604.442596435547,868.2567477226257,-1892.3149108886719,-1500.3809928894043,-4776.197910308838,-209.25822854042053,3098.7536907196045,1870.8934783935547,6314.509391784668,2053.413152694702
2025-04,3510.132074356079,-2554.598093032837,17365.598678588867,937.9352331161499,-2080.028295516968,-1586.0031843185425,-4458.450794219971,-412.5596284866333,2975.1148223876953,2031.1181545257568,6274.112701416016,2131.4961910247803
2025-05,3356.7469120025635,-2314.772129058838,17157.66143798828,1137.6172304153442,-2193.277597427368,-1559.9019527435303,-4310.476303100586,-395.0995206832886,2782.555103302002,2098.172664642334,6311.588287353516,2260.4920864105225
2025-06,3404.710292816162,-1779.0930271148682,17000.608444213867,996.4698553085327,-1867.0984506607056,-1771.3499069213867,-4046.5269088745117,-658.8987112045288,3173.1436252593994,1517.232060432434,6101.490497589111,2515.4244899749756
2025-07,4642.977714538574,-1601.1722087860107,16911.205291748047,994.8570132255554,-926.7581105232239,-1589.2648696899414,-3639.453172683716,-1407.6464176177979,3069.5059299468994,889.0775442123413,5651.139259338379,2342.8544998168945
2025-08,5907.936096191406,-1250.4462003707886,16855.464935302734,1289.2297506332397,-546.9669699668884,-569.8575377464294,-1923.6044883728027,-1784.859299659729,2526.369094848633,866.6760921478271,6161.242961883545,2000.8540153503418
2025-09,6000.453948974609,-1186.7859363555908,16840.585708618164,1481.7458391189575,-973.9466309547424,-79.76315915584564,-746.7843890190125,-1476.382851600647,2449.6421813964844,1407.89794921875,6774.333953857422,1904.110312461853
2025-10,5422.1391677856445,-946.6831684112549,16872.028350830078,1558.91752243042,-1948.889136314392,-354.9828231334686,-492.80259013175964,-1165.4040813446045,2419.581890106201,2023.0193138122559,6755.062580108643,2673.935890197754
2025-11,5573.296070098877,-1070.608377456665,16846.527099609375,1576.99453830719,-1152.7431011199951,-39.68653827905655,-1141.2947177886963,-1622.2212314605713,2190.901041030884,1998.6215829849243,6293.725490570068,2327.4478912353516
2025-12,5204.306602478027,-993.4901595115662,16683.60710144043,1675.2880811691284,-1252.5944709777832,-72.40317016839981,-1252.1108388900757,-1588.746428489685,2241.8441772460938,2005.8209896087646,6220.059394836426,2526.0863304138184
