split_month,feature,beta_hat,coef_y_units_per_stdX,coef_y_units_per_rawX,beta_se,beta_ci_lo,beta_ci_hi,coef_std_se,coef_std_ci_lo,coef_std_ci_hi,coef_raw_se,coef_raw_ci_lo,coef_raw_ci_hi
2025-02,g_fever,3.6724228858947754,3672.4228858947754,15537.608789904658,2.7262617374872606,-1.670951932009845,9.015797703799397,2726.2617374872607,-1670.951932009845,9015.797703799397,11534.507231903935,-7069.609964043841,38144.82754385316
2025-02,g_vaccine,-3.1784095764160156,-3178.4095764160156,-18068.480137920542,1.2095531259765813,-5.5490901407179525,-0.8077290121140783,1209.5531259765812,-5549.090140717953,-807.7290121140783,6876.013335295537,-31545.218632316923,-4591.741643524159
2025-02,wiki_views,3.33351731300354,3333.51731300354,4423.949813880854,3.014972159833261,-2.575719534660589,9.242754160667669,3014.9721598332612,-2575.719534660589,9242.75416066767,4001.2048155023786,-3418.267519272037,12266.167147033746
2025-02,mosq_total_monthly_views,0.8857917189598083,885.7917189598083,2362.3750318622406,1.3320390291936115,-1.724956804261367,3.4965402421809837,1332.0390291936114,-1724.956804261367,3496.5402421809836,3552.5007478375246,-4600.398488950914,9325.148552675395
2025-02,x_tilde_lag1,1.694615125656128,1694.615125656128,92.65192623188449,3.4097780199394747,-4.988426988701539,8.377657240013795,3409.7780199394747,-4988.426988701539,8377.657240013794,186.42728769944927,-272.738843394523,458.04269585829195
2025-02,x_tilde_lag2,1.8579456806182861,1857.9456806182861,101.2160831866247,3.125842515313649,-4.268593070740557,7.984484431977129,3125.842515313649,-4268.593070740557,7984.484431977129,170.28782884168493,-232.54192834859873,434.97409472184813
2025-02,x_tilde_lag12,6.632723808288574,6632.723808288574,351.6265111529911,2.785190795497089,1.1738501590418187,12.091597457535329,2785.1907954970893,1173.8501590418186,12091.597457535328,147.65380718736185,62.230366885540604,641.0226554204417
2025-02,s_sin1,-5.041162014007568,-5041.162014007568,-7134.606433074026,2.414869642507704,-9.77421954068178,-0.30810448733335516,2414.8696425077037,-9774.219540681781,-308.10448733335517,3417.6930712794133,-13833.161762993757,-436.05110315429465
2025-02,s_cos1,-1.736497163772583,-1736.497163772583,-2457.612709379602,2.3162348102947363,-6.276233971688229,2.803239644143063,2316.2348102947362,-6276.233971688229,2803.239644143063,3278.0981313674583,-8882.56698464787,3967.341565888665
2025-02,s_sin2,-0.10532426834106445,-105.32426834106445,-147.65730130897524,1.619014194889576,-3.2785337807837442,3.0678852441016153,1619.014194889576,-3278.533780783744,3067.885244101615,2269.7453356541596,-4596.2764132689035,4300.961810650952
