split_month,g_fever,g_vaccine,intercept,m_10,m_11,m_12,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,wiki_views,x_tilde_lag1,x_tilde_lag2
2024-11,6374.930858612061,-707.7420949935913,17619.531631469727,5733.111381530762,2354.140043258667,4833.109378814697,-948.6021995544434,-552.8004169464111,-347.42477536201477,-880.3009390830994,-1094.2037105560303,870.8418011665344,2245.5618381500244,3440.3464794158936,7086.917400360107,777.995228767395,118.0160790681839
2024-12,7380.960464477539,2779.128313064575,18172.161102294922,4863.116264343262,1327.5201320648193,1355.5986881256104,-827.435314655304,73.62928241491318,-266.59321784973145,-704.9244046211243,-779.723584651947,337.0071053504944,832.6120376586914,2561.965227127075,2827.458381652832,1000.3525018692017,950.8423805236816
2025-01,7404.788494110107,2878.6964416503906,17998.84033203125,5147.9597091674805,1728.925347328186,1867.4757480621338,-397.7662920951843,497.3553717136383,196.18584215641022,-297.85698652267456,-393.7598168849945,575.439989566803,1105.8154106140137,2858.7398529052734,3190.2947425842285,903.6358594894409,766.9916749000549
2025-02,7010.595321655273,2923.360824584961,17769.065856933594,5106.84061050415,1688.3987188339233,1794.2566871643066,-513.3250951766968,445.57514786720276,163.9152467250824,-340.56225419044495,-416.2517786026001,567.489743232727,1112.9813194274902,2860.7659339904785,3430.809259414673,903.0303359031677,785.5841517448425
2025-03,6673.232555389404,2839.1106128692627,17550.945281982422,5089.730739593506,1686.9502067565918,1754.3811798095703,-497.2860813140869,19.755486398935318,153.35004031658173,-357.526957988739,-420.4757511615753,595.48419713974,1172.7505922317505,2887.523412704468,3767.5414085388184,899.0313410758972,803.037166595459
2025-04,6429.96072769165,2767.9686546325684,17309.88883972168,5047.296047210693,1669.4713830947876,1703.72474193573,-486.04363203048706,29.75904382765293,-69.3715289235115,-376.6818642616272,-429.51613664627075,608.5575222969055,1204.6939134597778,2886.2805366516113,4060.555934906006,893.0867314338684,825.6639838218689
2025-05,6129.701137542725,2769.056558609009,17080.554962158203,5012.522220611572,1654.4878482818604,1669.5727109909058,-468.06052327156067,49.710411578416824,-31.697336584329605,-671.4008450508118,-433.3294928073883,604.0352582931519,1220.2239036560059,2887.481212615967,4293.989658355713,874.3312358856201,841.066300868988
2025-06,5872.600078582764,2791.219711303711,16860.7234954834,4945.090293884277,1610.0314855575562,1604.7883033752441,-481.7454218864441,34.28300470113754,-40.09103402495384,-683.8954091072083,-256.6077709197998,571.1633563041687,1195.8367824554443,2853.8358211517334,4426.694393157959,856.2883734703064,852.7377843856812
2025-07,5689.123630523682,2876.218557357788,16701.858520507812,4850.769519805908,1580.7654857635498,1613.6279106140137,-474.418580532074,41.13859683275223,-14.844438061118126,-695.2218413352966,-264.7283375263214,306.6476583480835,1115.3068542480469,2781.736373901367,4704.455852508545,778.1140208244324,803.7118911743164
2025-08,5552.760601043701,2991.567373275757,16602.561950683594,4751.636981964111,1546.9014644622803,1645.2431678771973,-457.56056904792786,55.721309036016464,13.104096055030823,-700.4125118255615,-268.16776394844055,241.44324660301208,769.6936726570129,2705.7435512542725,4920.747756958008,745.0752258300781,736.0451221466064
