split_month,g_fever,g_vaccine,intercept,s_cos1,s_cos2,s_sin1,s_sin2,wiki_views,x_tilde_lag1,x_tilde_lag12,x_tilde_lag2
2024-11,57135.47269814092,-15226.223744996794,-76657.46437399685,-6630.506195226174,-7877.298446300425,-12217.2423250187,-2552.4655295631997,9623.411489061718,290.05717987762057,-248.9226809684052,226.11259942317832
2024-12,49865.82756691386,-11586.42321218243,12599.916364449487,-3576.2481599739294,-4796.4739608757545,-9636.21486564891,-931.6723709617313,-1172.769264472831,174.5436025064072,-24.988963675529938,255.8766556524705
2025-01,39448.60465483506,-9501.433605725695,4045.9590038884435,-7587.481477510554,-5950.0842233508865,-10097.51300676473,-1964.5453775928445,-243.1402083087923,74.68054366141637,44.56475127351071,422.4221429300408
2025-02,34336.80047747201,-7749.592447419644,-1638.7227294507684,-8984.279795580149,-5121.09083994952,-8951.576398553587,-2835.3676675559846,307.7567977031063,89.48436653695039,94.60749843780403,448.0377094285926
2025-03,32875.65168666562,-9365.93384514826,-7986.951896077164,-9820.489544847454,-3111.1210053765494,-6866.567974868392,-1772.1796666079304,930.2830196330826,100.10686632140894,199.77848560577925,453.7986367675713
2025-04,31272.71604471758,-13831.13141492706,-11396.402642339523,-10515.674792410102,-1393.5564941450996,-5470.6248457299,676.2823336862773,1319.5088875436204,155.99032494868248,304.710644295766,428.20054300829025
2025-05,27172.98571373496,-14435.99409163546,-13205.09862470339,-10477.989432749151,-2486.289612421262,-5815.220364042104,1681.6806264018123,1569.7929666399086,193.91277046035137,327.27959017240744,425.201973584512
2025-06,29405.718436631894,-5496.151952153239,-18510.879692270704,-7054.881714757825,-3333.2503321382455,-5685.552928844263,353.6581315644245,2030.6829089565751,143.30249835102808,271.58491004886696,384.3980203566651
2025-07,36604.320062596846,-865.783696589928,-19120.996135509515,-3267.179530562609,-3191.911893479238,-5170.795501600993,-1776.9515711434724,2010.016558701302,118.747176638656,202.8541890219378,323.78090793931347
2025-08,41191.34355806212,3142.8914177691636,-24274.375865370625,-1259.4146622972792,-1447.7378529889381,-2301.3185091445453,-3222.4245873838654,2388.4108675885286,115.4623999347513,214.0112823914196,271.4031971315247
