epoch,L_total,L_who,L_year,L_reg
1,2384.4052734375,361.9122314453125,57484.4140625,0.0
2,2379.117919921875,361.0727233886719,57375.4375,0.0014999998966231942
3,2373.837890625,360.23443603515625,57266.56640625,0.005999755579978228
4,2368.5654296875,359.3974609375,57157.8046875,0.013498654589056969
5,2363.30029296875,358.5617370605469,57049.16015625,0.023995762690901756
6,2358.04296875,357.72735595703125,56940.6328125,0.037489816546440125
7,2352.7939453125,356.8943176269531,56832.2265625,0.053979240357875824
8,2347.55224609375,356.06256103515625,56723.94140625,0.07346213608980179
9,2342.31884765625,355.23223876953125,56615.7734375,0.09593629837036133
10,2337.09375,354.4032897949219,56507.7265625,0.12139921635389328
11,2331.876953125,353.5757141113281,56399.8125,0.1498481035232544
12,2326.668701171875,352.7496337890625,56292.0234375,0.18127985298633575
13,2321.468505859375,351.9249267578125,56184.359375,0.21569108963012695
14,2316.27734375,351.10174560546875,56076.83203125,0.2530781626701355
15,2311.094482421875,350.27996826171875,55969.4296875,0.2934371829032898
16,2305.920654296875,349.4597473144531,55862.1640625,0.33676397800445557
17,2300.755859375,348.6409912109375,55755.03125,0.3830541670322418
18,2295.599609375,347.8237609863281,55648.03515625,0.4323030710220337
19,2290.45263671875,347.00811767578125,55541.171875,0.48450595140457153
20,2285.31494140625,346.1939697265625,55434.44921875,0.5396576523780823
21,2280.18603515625,345.3813781738281,55327.86328125,0.5977530479431152
22,2275.066650390625,344.57037353515625,55221.41796875,0.6587866544723511
23,2269.95703125,343.7610168457031,55115.125,0.7227527499198914
24,2264.856201171875,342.9531555175781,55008.96875,0.789645791053772
25,2259.76513671875,342.14697265625,54902.9453125,0.8594596982002258
26,2254.683837890625,341.3424377441406,54797.07421875,0.9321885704994202
27,2249.611572265625,340.5394287109375,54691.34765625,1.0078260898590088
28,2244.54931640625,339.7381286621094,54585.765625,1.086366057395935
29,2239.496826171875,338.9384460449219,54480.3359375,1.1678019762039185
30,2234.453857421875,338.14044189453125,54375.05078125,1.2521274089813232
31,2229.420654296875,337.34405517578125,54269.91015625,1.3393356800079346
32,2224.3974609375,336.5493469238281,54164.921875,1.4294202327728271
33,2219.3837890625,335.7563171386719,54060.078125,1.522374153137207
34,2214.38037109375,334.9649658203125,53955.390625,1.6181907653808594
35,2209.386474609375,334.17523193359375,53850.84375,1.7168631553649902
36,2204.40234375,333.3872375488281,53746.453125,1.8183842897415161
37,2199.4287109375,332.6009216308594,53642.21875,1.9227473735809326
38,2194.464599609375,331.8162536621094,53538.1328125,2.029944896697998
39,2189.510986328125,331.03338623046875,53434.1953125,2.139970302581787
40,2184.56689453125,330.2521057128906,53330.4140625,2.252816677093506
41,2179.63330078125,329.47259521484375,53226.78125,2.368475914001465
42,2174.708984375,328.6947021484375,53123.296875,2.4869418144226074
43,2169.79541015625,327.9185791015625,53019.9765625,2.6082065105438232
44,2164.89111328125,327.14410400390625,52916.8046875,2.7322635650634766
45,2159.99755859375,326.37139892578125,52813.78515625,2.859105110168457
46,2155.11376953125,325.6003112792969,52710.91796875,2.9887239933013916
47,2150.240478515625,324.8310241699219,52608.203125,3.1211133003234863
48,2145.376708984375,324.06341552734375,52505.640625,3.256265640258789
49,2140.52294921875,323.29742431640625,52403.23828125,3.394174098968506
50,2135.67919921875,322.533203125,52300.98828125,3.5348308086395264
51,2130.845947265625,321.77069091796875,52198.88671875,3.678229331970215
52,2126.022705078125,321.0098876953125,52096.9453125,3.8243610858917236
53,2121.209228515625,320.2507629394531,51995.1484375,3.973220109939575
54,2116.406005859375,319.49334716796875,51893.51171875,4.124798774719238
55,2111.613037109375,318.7376708984375,51792.02734375,4.279089450836182
56,2106.829345703125,317.9836120605469,51690.6953125,4.436085224151611
57,2102.056396484375,317.2313232421875,51589.51953125,4.5957794189453125
58,2097.293212890625,316.4806823730469,51488.5,4.758163928985596
59,2092.539794921875,315.73175048828125,51387.625,4.923232078552246
60,2087.796875,314.9845275878906,51286.9140625,5.090975761413574
61,2083.06396484375,314.2389831542969,51186.35546875,5.26138973236084
62,2078.340576171875,313.4951477050781,51085.94140625,5.434465408325195
63,2073.627197265625,312.7529602050781,50985.68359375,5.610195159912109
64,2068.924072265625,312.0124816894531,50885.5859375,5.788572311401367
65,2064.23046875,311.2736511230469,50785.6328125,5.969590187072754
66,2059.54736328125,310.53656005859375,50685.8359375,6.1532416343688965
67,2054.87353515625,309.80108642578125,50586.19140625,6.339518070220947
68,2050.210205078125,309.06732177734375,50486.703125,6.528413772583008
69,2045.5565185546875,308.3352355957031,50387.36328125,6.719921588897705
70,2040.9127197265625,307.60479736328125,50288.1796875,6.914033889770508
71,2036.2786865234375,306.87603759765625,50189.14453125,7.110743045806885
72,2031.654541015625,306.1488952636719,50090.265625,7.3100433349609375
73,2027.04052734375,305.42352294921875,49991.53515625,7.511926651000977
74,2022.4359130859375,304.6997375488281,49892.9609375,7.716385841369629
75,2017.8411865234375,303.97760009765625,49794.5390625,7.923414707183838
76,2013.2564697265625,303.25714111328125,49696.26171875,8.133004188537598
77,2008.681396484375,302.5383605957031,49598.140625,8.345149993896484
78,2004.116455078125,301.82122802734375,49500.171875,8.559843063354492
79,1999.560791015625,301.1056823730469,49402.359375,8.777076721191406
80,1995.01513671875,300.391845703125,49304.6875,8.996843338012695
81,1990.479248046875,299.67962646484375,49207.171875,9.219137191772461
82,1985.9527587890625,298.96905517578125,49109.80859375,9.443950653076172
83,1981.4361572265625,298.2601013183594,49012.59375,9.671277046203613
84,1976.9290771484375,297.55279541015625,48915.5234375,9.901108741760254
85,1972.4320068359375,296.8471374511719,48818.6171875,10.133439064025879
86,1967.9442138671875,296.14306640625,48721.8515625,10.368261337280273
87,1963.466064453125,295.44061279296875,48625.234375,10.605566024780273
88,1958.9979248046875,294.7398681640625,48528.77734375,10.84535026550293
89,1954.5390625,294.0406799316406,48432.4609375,11.087602615356445
90,1950.0899658203125,293.3431091308594,48336.30078125,11.332321166992188
91,1945.6502685546875,292.64715576171875,48240.28125,11.57949447631836
92,1941.22021484375,291.95281982421875,48144.41796875,11.829116821289062
93,1936.7996826171875,291.2601013183594,48048.7109375,12.081182479858398
94,1932.3885498046875,290.5689697265625,47953.140625,12.335683822631836
95,1927.987060546875,289.87945556640625,47857.7265625,12.592613220214844
96,1923.594970703125,289.1915283203125,47762.453125,12.85196590423584
97,1919.2125244140625,288.5052185058594,47667.3359375,13.113730430603027
98,1914.839599609375,287.82049560546875,47572.36328125,13.37790298461914
99,1910.47607421875,287.13739013671875,47477.54296875,13.644477844238281
100,1906.121826171875,286.4558410644531,47382.8671875,13.913445472717285
101,1901.77685546875,285.7758483886719,47288.34375,14.184799194335938
102,1897.441650390625,285.0975036621094,47193.96484375,14.458536148071289
103,1893.1153564453125,284.4206848144531,47099.7265625,14.734642028808594
104,1888.7989501953125,283.7454833984375,47005.6484375,15.013116836547852
105,1884.4913330078125,283.0718078613281,46911.7109375,15.293947219848633
106,1880.193603515625,282.3997497558594,46817.921875,15.577132225036621
107,1875.905029296875,281.7292785644531,46724.28125,15.862662315368652
108,1871.6256103515625,281.0603332519531,46630.78515625,16.150531768798828
