split_month,g_fever,g_vaccine,intercept,m_10,m_11,m_12,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,mosq_total_monthly_views,wiki_views,x_tilde_lag1,x_tilde_lag12,x_tilde_lag2
2024-11,40165.330499219024,-4642.181035784034,-79048.60800488995,21384.362984321204,10396.434400968832,2087.435164266982,1469.2484599264747,4326.736641900104,4172.864608849253,11865.783148975219,13247.631134674715,19195.024856811797,13680.204916636469,15405.421345041514,9443.413689111441,-1450.6420332521502,245.16294101135458,159.76892042259811,123.11718449815115
2024-12,37310.8538928884,714.2617098726131,-52468.29958127362,21827.125104661387,9592.18025103637,10260.381034844357,-251.278041569104,1623.063514972846,264.61566289679,8418.20431520317,9604.688398854641,15807.909354746707,10280.199979404688,15313.79783490431,9939.50663420937,-5011.036117077066,258.05697598413144,146.8657668477205,62.40788727590442
2025-01,30276.501763506018,4269.472598928614,-58854.7297146136,19973.526195704395,7738.153760618137,8614.498245739303,-2721.722464790158,-201.17235162363536,-1544.4599561179039,6959.748332108097,8679.277780547287,14239.242540772928,8149.011912689475,13595.517138464143,10883.649461129284,-5051.537663285838,250.821891368696,177.3232582340571,73.00371810474142
2025-02,31332.981008102433,2069.941609179689,-43203.316397883216,20021.676156118418,6661.989719974206,6599.263327068062,2281.9075075027345,3162.947966020329,1579.7424830469654,7901.011195099686,9064.95179109511,16498.45755671975,10752.939496368816,13876.122503457616,7298.176921862946,-3375.2336052334886,250.5638125176344,156.59184286388975,127.2684824384136
2025-03,30070.318357241307,2693.5148953022235,-46691.820173395005,19548.27502953637,6735.708643375595,6810.438038363913,1753.9826356035371,2916.006539585125,679.695794805989,7420.052716514493,8741.890606913894,15793.019950378459,9893.6646402283,13379.96838960116,8048.13649662604,-3646.8944530545587,242.16781854986266,171.7866214102984,117.69429989550271
2025-04,30097.511708642025,3037.9986669338664,-43260.10331236866,19284.447649075457,6434.551320529051,6340.578535809459,1863.9418426175635,3278.858154707712,3741.6549550855557,7234.407537131089,8452.107076579086,15641.23939589052,9959.729240740673,13062.64833674394,7223.418102125503,-3219.1109867861064,229.45731838121986,169.71152730779812,128.7935715419649
2025-05,29562.23145028552,3083.201433837543,-45084.83355900753,18616.408649693938,6449.897584852825,6257.610508792584,1687.623438988424,3188.4718805079497,3756.6406626765834,7825.020070387568,8392.486208789256,15390.623612628739,9620.38036043588,12420.442413127641,7474.803843655325,-3224.924341476794,211.85642196700556,187.05059125226623,135.4392544148818
2025-06,29322.579861518418,3130.5303686782554,-45532.10259613032,17844.202358841994,6214.624966017522,6014.561171703318,1597.548598818171,3229.9558610790955,3821.983506252757,7803.447010161308,9449.675564023026,15121.670414174856,9265.292285724332,11683.192838285966,7407.821704334436,-3084.225337043665,198.06167016280426,200.23505725002497,142.86202507382404
2025-07,33096.26645341897,9599.780155864002,-51143.08735335436,19192.938379520787,7275.605959998136,7603.561015569287,439.88298630106027,2122.242482315095,2432.485218822998,6223.291794786787,8393.431583207559,8501.764991699858,6729.3269651195005,11786.160037293024,8266.371106366636,-3315.912608339673,138.70577464861736,150.00849969407895,122.17386901000353
2025-08,32045.45715790805,9780.863339691161,-51411.20005357875,19186.04626673318,7025.222103301165,7279.252294746324,581.2043450424205,2412.4736445728045,2695.2828723533007,6445.72553483724,8668.878010768545,8857.982838637585,7569.539971727292,11896.476885553544,8173.022013653513,-3217.444665738047,143.3391684848782,149.29264972723632,132.63529856560285
