split_month,feature,beta_hat,coef_y_units_per_stdX,coef_y_units_per_rawX
2024-11,g_fever,8.316575050354004,8316.575050354004,40165.330499219024
2024-11,g_vaccine,-1.032467246055603,-1032.467246055603,-4642.181035784034
2024-11,wiki_views,-1.1569751501083374,-1156.9751501083374,-1450.6420332521502
2024-11,mosq_total_monthly_views,3.2620489597320557,3262.0489597320557,9443.413689111441
2024-11,x_tilde_lag1,4.894390106201172,4894.390106201172,245.16294101135458
2024-11,x_tilde_lag2,2.4152767658233643,2415.2767658233643,123.11718449815115
2024-11,x_tilde_lag12,3.3504562377929688,3350.4562377929688,159.76892042259811
2024-11,m_2,0.4099790155887604,409.9790155887604,1469.2484599264747
2024-11,m_3,1.2073323726654053,1207.3323726654053,4326.736641900104
2024-11,m_4,1.1643959283828735,1164.3959283828735,4172.864608849253
2024-11,m_5,3.3110275268554688,3311.0275268554688,11865.783148975219
2024-11,m_6,3.6966183185577393,3696.6183185577393,13247.631134674715
2024-11,m_7,5.3561787605285645,5356.178760528564,19195.024856811797
2024-11,m_8,3.817323684692383,3817.323684692383,13680.204916636469
2024-11,m_9,4.298727989196777,4298.727989196777,15405.421345041514
2024-11,m_10,5.9670915603637695,5967.0915603637695,21384.362984321204
2024-11,m_11,2.9010205268859863,2901.0205268859863,10396.434400968832
2024-11,m_12,0.5102724432945251,510.27244329452515,2087.435164266982
2024-11,intercept,18.064899444580078,18064.899444580078,-79048.60800488995
2024-12,g_fever,7.672382831573486,7672.382831573486,37310.8538928884
2024-12,g_vaccine,0.15734028816223145,157.34028816223145,714.2617098726131
2024-12,wiki_views,-4.05742883682251,-4057.4288368225098,-5011.036117077066
2024-12,mosq_total_monthly_views,3.685023307800293,3685.023307800293,9939.50663420937
2024-12,x_tilde_lag1,5.1122050285339355,5112.205028533936,258.05697598413144
2024-12,x_tilde_lag2,1.245900273323059,1245.900273323059,62.40788727590442
2024-12,x_tilde_lag12,3.037593364715576,3037.593364715576,146.8657668477205
2024-12,m_2,-0.06944958120584488,-69.44958120584488,-251.278041569104
2024-12,m_3,0.44859105348587036,448.59105348587036,1623.063514972846
2024-12,m_4,0.07313590496778488,73.13590496778488,264.61566289679
2024-12,m_5,2.3266687393188477,2326.6687393188477,8418.20431520317
