year,pred_year_total,od_total,od_source
2021,204195.4735107422,193245.0,OpenDengue_State_Aggregated
2022,226263.224609375,233251.0,OpenDengue_State_Aggregated
2023,292938.95849609375,289235.0,OpenDengue_State_Aggregated
2024,226184.34912109375,233519.0,OpenDengue_State_Aggregated
