epoch,L_total,L_who,L_year,L_reg
1,57886.20703125,401.7944030761719,57484.4140625,0.0
2,53886.29296875,376.3070983886719,53509.984375,0.00139999995008111
3,50035.5,351.8446044921875,49683.65625,0.0055937920697033405
4,46336.26171875,328.4220275878906,46007.83984375,0.012565388344228268
5,42790.671875,306.0521545410156,42484.62109375,0.022289443761110306
6,39400.51171875,284.7453308105469,39115.765625,0.034730710089206696
7,36167.18359375,264.5093078613281,35902.67578125,0.04984350502490997
8,33091.69921875,245.34913635253906,32846.3515625,0.06757126748561859
9,30174.6640625,227.26678466796875,29947.396484375,0.08784613013267517
10,27416.224609375,210.26112365722656,27205.962890625,0.11058852821588516
11,24816.0625,194.32774353027344,24621.734375,0.13570697605609894
12,22373.390625,179.45884704589844,22193.931640625,0.1630977988243103
13,20086.90625,165.64306640625,19921.263671875,0.19264517724514008
14,17954.798828125,152.86544799804688,17801.93359375,0.22422105073928833
15,15974.734375,141.10743713378906,15833.626953125,0.2576853632926941
16,14143.8564453125,130.3467559814453,14013.509765625,0.29288625717163086
17,12458.77734375,120.5574951171875,12338.2197265625,0.32966065406799316
18,10915.5986328125,111.7101821899414,10803.888671875,0.3678348660469055
19,9509.91796875,103.7718505859375,9406.146484375,0.4072253704071045
20,8236.8447265625,96.70623016357422,8140.13818359375,0.44763967394828796
21,7091.0341796875,90.47390747070312,7000.5595703125,0.48887771368026733
22,6066.7236328125,85.03265380859375,5981.6904296875,0.5307329893112183
23,5157.76123046875,80.33760070800781,5077.42333984375,0.5729941725730896
24,4357.662109375,76.34172058105469,4281.31982421875,0.6154467463493347
25,3659.65771484375,72.9960708618164,3586.660888671875,0.6578747630119324
26,3056.7529296875,70.25035858154297,2986.501953125,0.7000629305839539
27,2541.789794921875,68.05325317382812,2473.73583984375,0.7417985200881958
28,2107.518798828125,66.35301208496094,2041.1650390625,0.7828733325004578
29,1746.6572265625,65.09780883789062,1681.55859375,0.8230859637260437
30,1451.9678955078125,64.23639678955078,1387.7305908203125,0.8622437119483948
31,1216.3232421875,63.718482971191406,1152.6038818359375,0.9001647233963013
32,1032.7760009765625,63.49528503417969,969.2797241210938,0.9366793632507324
33,894.6197509765625,63.519893646240234,831.098876953125,0.9716330766677856
34,795.4481811523438,63.7477912902832,731.6994018554688,1.0048863887786865
35,729.2074584960938,64.13713836669922,665.0692749023438,1.0363168716430664
36,690.2439575195312,64.64909362792969,625.5938110351562,1.065820574760437
37,673.33642578125,65.24816131591797,608.087158203125,1.093312382698059
38,673.72705078125,65.9022445678711,607.82373046875,1.1187262535095215
39,687.1403198242188,66.58287048339844,620.5562744140625,1.1420150995254517
40,709.7901611328125,67.26519012451172,642.5238037109375,1.1631518602371216
41,738.3828125,67.92799377441406,670.4536743164062,1.1821274757385254
42,770.1082153320312,68.55365753173828,701.5533447265625,1.1989517211914062
43,802.6221923828125,69.1279525756836,733.4930419921875,1.2136509418487549
44,834.02490234375,69.63993072509766,764.3837280273438,1.2262680530548096
45,862.83251953125,70.08169555664062,792.7496337890625,1.2368602752685547
46,887.944091796875,70.44812774658203,817.4947509765625,1.2454984188079834
47,908.6019287109375,70.73661041259766,837.864013671875,1.2522649765014648
48,924.3546752929688,70.94674682617188,853.4066772460938,1.2572526931762695
49,935.013916015625,71.08007049560547,863.9325561523438,1.2605631351470947
50,940.6170654296875,71.13969421386719,869.47607421875,1.262304425239563
51,941.38232421875,71.13005828857422,870.2509765625,1.2625901699066162
52,937.6747436523438,71.05662536621094,866.6168212890625,1.2615383863449097
53,929.9656372070312,70.92560577392578,859.0387573242188,1.2592689990997314
54,918.8026733398438,70.74365997314453,848.0577392578125,1.2559030055999756
55,904.7749633789062,70.5177993774414,834.255859375,1.2515612840652466
56,888.4911499023438,70.25507354736328,818.23486328125,1.2463632822036743
57,870.5548706054688,69.9624252319336,800.5912475585938,1.2404261827468872
58,851.5471801757812,69.64653015136719,781.8994140625,1.2338638305664062
59,832.005126953125,69.31373596191406,762.690185546875,1.226785659790039
60,812.4166870117188,68.96991729736328,743.445556640625,1.2192964553833008
61,793.2103881835938,68.62042999267578,724.5887451171875,1.2114959955215454
62,774.7496337890625,68.2700424194336,706.4783935546875,1.2034777402877808
63,757.3306274414062,67.92292785644531,689.406494140625,1.195329189300537
64,741.1836547851562,67.58267211914062,673.599853515625,1.187131643295288
65,726.4717407226562,67.25230407714844,659.21826171875,1.1789593696594238
66,713.298828125,66.9342041015625,646.3634643554688,1.1708803176879883
67,701.7141723632812,66.63030242919922,635.0827026367188,1.1629559993743896
68,691.7149658203125,66.34199523925781,625.371826171875,1.155240535736084
69,683.258056640625,66.07024383544922,617.1866455078125,1.1477820873260498
70,676.2650146484375,65.81562805175781,610.4482421875,1.140622854232788
71,670.6304321289062,65.5783920288086,605.0509033203125,1.1337981224060059
72,666.2260131835938,65.35846710205078,600.866455078125,1.1273375749588013
73,662.9126586914062,65.15557098388672,597.7559814453125,1.1212654113769531
74,660.5421752929688,64.96924591064453,595.5718383789062,1.115600347518921
75,658.965087890625,64.79885864257812,594.1651611328125,1.1103559732437134
76,658.0332641601562,64.64368438720703,593.3884887695312,1.1055412292480469
77,657.6076049804688,64.5029296875,593.1035766601562,1.1011606454849243
78,657.5588989257812,64.37577819824219,593.1820068359375,1.097214698791504
79,657.7700805664062,64.26134490966797,593.5076293945312,1.0936999320983887
80,658.136962890625,64.15882110595703,593.97705078125,1.0906095504760742
81,658.5723266601562,64.06733703613281,594.50390625,1.087933897972107
82,659.0039672851562,63.986106872558594,595.0167846679688,1.0856600999832153
83,659.3746337890625,63.91435241699219,595.4591674804688,1.0837732553482056
84,659.6412353515625,63.85135269165039,595.7887573242188,1.0822561979293823
85,659.7755737304688,63.79642105102539,595.97802734375,1.081089735031128
86,659.75927734375,63.748878479003906,596.00927734375,1.0802533626556396
87,659.5855102539062,63.7081298828125,595.8762817382812,1.0797251462936401
88,659.2556762695312,63.6735725402832,595.5809936523438,1.0794823169708252
89,658.7799072265625,63.6446533203125,595.1341552734375,1.0795012712478638
90,658.1713256835938,63.6208381652832,594.5493774414062,1.0797581672668457
91,657.4483642578125,63.60159683227539,593.8456420898438,1.080228567123413
92,656.63232421875,63.58647155761719,593.0447387695312,1.080888271331787
93,655.7431030273438,63.57492446899414,592.1670532226562,1.081713318824768
94,654.8035888671875,63.5665168762207,591.2359619140625,1.0826798677444458
95,653.8340454101562,63.56077575683594,590.2721557617188,1.0837651491165161
96,652.85302734375,63.557247161865234,589.294677734375,1.084946870803833
97,651.8777465820312,63.555484771728516,588.3211669921875,1.0862033367156982
98,650.9213256835938,63.5550537109375,587.3651733398438,1.0875144004821777
99,649.9957885742188,63.5555419921875,586.4391479492188,1.0888607501983643
100,649.10888671875,63.556541442871094,585.55126953125,1.0902243852615356
101,648.2674560546875,63.55766296386719,584.7086791992188,1.0915887355804443
102,647.47509765625,63.55854797363281,583.9154663085938,1.0929385423660278
103,646.7310791015625,63.558841705322266,583.171142578125,1.0942597389221191
104,646.0361938476562,63.5582275390625,582.4768676757812,1.095540165901184
105,645.3861083984375,63.556400299072266,581.82861328125,1.0967687368392944
106,644.7789916992188,63.553123474121094,581.2247924804688,1.0979361534118652
107,644.2091064453125,63.548160552978516,580.6598510742188,1.0990341901779175
108,643.6710205078125,63.541316986083984,580.1286010742188,1.1000566482543945
109,643.1585083007812,63.532405853271484,579.625,1.100998044013977
110,642.6669311523438,63.521339416503906,579.1444702148438,1.101854681968689
111,642.190185546875,63.50798034667969,578.6810913085938,1.1026239395141602
112,641.7235107421875,63.492286682128906,578.2301025390625,1.103304386138916
113,641.2622680664062,63.4742317199707,577.7869262695312,1.1038957834243774
114,640.802734375,63.45380783081055,577.3478393554688,1.1043988466262817
115,640.3414306640625,63.431034088134766,576.9093017578125,1.1048154830932617
116,639.875,63.405982971191406,576.4678955078125,1.1051479578018188
117,639.4034423828125,63.378719329833984,576.0236206054688,1.1053996086120605
118,638.9242553710938,63.34933090209961,575.5738525390625,1.1055744886398315
119,638.436767578125,63.31794738769531,575.1177368164062,1.1056770086288452
120,637.9404907226562,63.28468322753906,574.6547241210938,1.1057119369506836
121,637.4364624023438,63.24967956542969,574.1856689453125,1.1056848764419556
122,636.9244384765625,63.21307373046875,573.7102661132812,1.1056013107299805
123,636.406005859375,63.175045013427734,573.2298583984375,1.1054668426513672
124,635.8812255859375,63.135719299316406,572.744384765625,1.1052873134613037
125,635.3515625,63.09527587890625,572.2551879882812,1.1050688028335571
126,634.8179931640625,63.05386734008789,571.7630004882812,1.1048169136047363
127,634.2808227539062,63.01163101196289,571.26806640625,1.1045376062393188
128,633.7421264648438,62.96871566772461,570.7723388671875,1.104236125946045
129,633.2021484375,62.9252815246582,570.2757568359375,1.1039180755615234
130,632.6614379882812,62.881431579589844,569.7789306640625,1.1035881042480469
131,632.12060546875,62.83730697631836,569.2822265625,1.103251338005066
132,631.5801391601562,62.79302978515625,568.7860107421875,1.102912187576294
133,631.0399780273438,62.74868392944336,568.2902221679688,1.1025745868682861
134,630.5006713867188,62.704368591308594,567.7952270507812,1.102242112159729
135,629.9622192382812,62.66015625,567.3009643554688,1.101918339729309
136,629.4239501953125,62.616153717041016,566.8067016601562,1.101606011390686
137,628.885986328125,62.5723762512207,566.3125,1.1013075113296509
138,628.3487548828125,62.528907775878906,565.8187255859375,1.101025104522705
139,627.8101806640625,62.48577880859375,565.3233032226562,1.1007604598999023
140,627.2727661132812,62.4430046081543,564.8286743164062,1.1005150079727173
141,626.734130859375,62.400634765625,564.3323974609375,1.1002894639968872
142,626.1943359375,62.358665466308594,563.8345947265625,1.100084662437439
143,625.6535034179688,62.31711196899414,563.3352661132812,1.0999008417129517
144,625.1115112304688,62.27596664428711,562.83447265625,1.0997381210327148
145,624.5680541992188,62.23521423339844,562.3317260742188,1.0995961427688599
146,624.0234375,62.19486999511719,561.8274536132812,1.099474549293518
147,623.4768676757812,62.15486145019531,561.3209228515625,1.0993725061416626
148,622.9281616210938,62.115211486816406,560.8118286132812,1.0992891788482666
149,622.3778686523438,62.07589340209961,560.3009033203125,1.0992236137390137
150,621.8255615234375,62.036861419677734,559.78759765625,1.0991743803024292
151,621.2720947265625,61.99807357788086,559.27294921875,1.0991402864456177
152,620.7164916992188,61.95952224731445,558.755859375,1.0991201400756836
153,620.1588745117188,61.92115783691406,558.2366333007812,1.0991120338439941
154,619.5999755859375,61.882938385009766,557.7159423828125,1.099115014076233
155,619.0396118164062,61.844844818115234,557.1936645507812,1.0991272926330566
156,618.4779052734375,61.80682373046875,556.6699829101562,1.0991474390029907
157,617.9142456054688,61.76884841918945,556.144287109375,1.09917414188385
158,617.3494873046875,61.73088455200195,555.6174926757812,1.0992059707641602
159,616.78369140625,61.69291687011719,555.0896606445312,1.0992416143417358
160,616.2169189453125,61.654884338378906,554.5609130859375,1.099279761314392
161,615.648681640625,61.616783142089844,554.0308227539062,1.0993192195892334
162,615.0781860351562,61.57856750488281,553.49853515625,1.0993590354919434
163,614.5074462890625,61.54025650024414,552.966064453125,1.099398136138916
164,613.935546875,61.501773834228516,552.4326782226562,1.0994356870651245
165,613.3618774414062,61.463134765625,551.8976440429688,1.099470853805542
166,612.7874755859375,61.42430114746094,551.362060546875,1.0995029211044312
167,612.2120971679688,61.38528823852539,550.82568359375,1.099531650543213
168,611.6351928710938,61.3460807800293,550.2880249023438,1.0995562076568604
169,611.0573120117188,61.30665588378906,549.7495727539062,1.0995765924453735
170,610.4778442382812,61.26701354980469,549.209716796875,1.0995923280715942
171,609.897705078125,61.22715759277344,548.66943359375,1.0996034145355225
172,609.3157348632812,61.187076568603516,548.1275634765625,1.0996097326278687
173,608.7327880859375,61.146785736083984,547.5848999023438,1.0996112823486328
174,608.14892578125,61.10627746582031,547.0415649414062,1.0996081829071045
175,607.563720703125,61.06556701660156,546.4970703125,1.0996005535125732
176,606.9769287109375,61.02464294433594,545.951171875,1.0995887517929077
177,606.3892822265625,60.983524322509766,545.4046630859375,1.099573016166687
178,605.8004760742188,60.94222640991211,544.857177734375,1.0995533466339111
179,605.2103881835938,60.90074157714844,544.3085327148438,1.099530577659607
180,604.6190185546875,60.85908508300781,543.7588500976562,1.0995047092437744
181,604.0263061523438,60.817283630371094,543.2079467773438,1.0994763374328613
182,603.4334716796875,60.77531433105469,542.6570434570312,1.0994457006454468
183,602.8384399414062,60.733219146728516,542.1041259765625,1.0994131565093994
184,602.242431640625,60.69099044799805,541.5503540039062,1.099379539489746
185,601.64501953125,60.64864730834961,540.9953002929688,1.0993447303771973
186,601.04736328125,60.6061897277832,540.4400634765625,1.0993093252182007
187,600.4481811523438,60.56364440917969,539.8834228515625,1.0992738008499146
188,599.8480224609375,60.520999908447266,539.325927734375,1.0992381572723389
189,599.246826171875,60.478275299072266,538.7674560546875,1.0992029905319214
190,598.6443481445312,60.435462951660156,538.207763671875,1.0991684198379517
191,598.040771484375,60.392601013183594,537.6470947265625,1.0991348028182983
192,597.4362182617188,60.349666595458984,537.08544921875,1.09910249710083
193,596.8308715820312,60.30667495727539,536.5230712890625,1.0990715026855469
194,596.2243041992188,60.26362609863281,535.9595947265625,1.0990420579910278
195,595.61669921875,60.22053146362305,535.3950805664062,1.0990142822265625
196,595.0084228515625,60.1773796081543,534.8299560546875,1.0989881753921509
197,594.3991088867188,60.13420104980469,534.2637939453125,1.098963975906372
198,593.7882690429688,60.090965270996094,533.6962280273438,1.0989418029785156
199,593.1767578125,60.04767990112305,533.1279907226562,1.098921537399292
200,592.5640258789062,60.00436782836914,532.5585327148438,1.0989031791687012
201,591.9508666992188,59.961002349853516,531.98876953125,1.0988867282867432
202,591.3361206054688,59.9176025390625,531.4174194335938,1.098872184753418
203,590.7206420898438,59.8741569519043,530.8453979492188,1.098859429359436
204,590.1043701171875,59.830665588378906,530.2725830078125,1.0988483428955078
205,589.4866943359375,59.78712463378906,529.698486328125,1.0988390445709229
206,588.8685302734375,59.7435417175293,529.1239013671875,1.0988311767578125
207,588.249755859375,59.699893951416016,528.5487670898438,1.0988249778747559
208,587.6293334960938,59.656211853027344,527.9720458984375,1.0988200902938843
209,587.0086059570312,59.612464904785156,527.39501953125,1.0988163948059082
210,586.38671875,59.568660736083984,526.8169555664062,1.0988140106201172
211,585.7635498046875,59.524803161621094,526.2376708984375,1.0988125801086426
212,585.1400756835938,59.48088073730469,525.6580810546875,1.0988121032714844
213,584.5148315429688,59.4368896484375,525.0768432617188,1.098812460899353
214,583.8901977539062,59.392845153808594,524.4962768554688,1.098813533782959
215,583.2633666992188,59.34872817993164,523.9135131835938,1.0988152027130127
216,582.635986328125,59.304542541503906,523.330322265625,1.0988175868988037
217,582.0082397460938,59.260292053222656,522.746826171875,1.0988205671310425
218,581.3792114257812,59.21597671508789,522.162109375,1.0988237857818604
