split_month,g_fever,g_vaccine,intercept,s_cos1,s_cos2,s_sin1,s_sin2,wiki_views,x_tilde_lag1,x_tilde_lag12,x_tilde_lag2
2024-11,36368.23757738496,-22586.658153501066,-105691.44589292149,3030.6637951787097,-4709.585773313847,-13288.058278276501,-2686.4775060506354,12496.026868005594,182.15780579604868,-28.431446660608536,-163.62799385216746
2024-12,45839.97137943846,-4829.740931984771,-10858.719532802585,-3770.5667141212093,-3585.6098181253874,-6522.7677701020875,-1472.583938189791,1105.779192980571,17.874245616523876,103.84158667135935,324.4175472741381
2025-01,31160.97907566219,-2507.2899094846075,-30817.041205103997,-4606.118354838003,-4215.7554905329125,-7627.0931169876285,-2107.2499433513626,3339.687957698976,-53.10937611373137,152.35788907719854,379.24749386923384
2025-02,22706.339451606775,-2042.9884030607182,-42042.06612980173,-4851.9349650501845,-4016.0227505824014,-7000.129740571158,-1791.465255434343,4574.386017501621,-35.80133119176003,200.3935516938251,368.09641197900623
2025-03,19707.76380341456,-3640.792284499226,-48764.160212268354,-4954.92230614576,-3527.306190945887,-5661.760631341963,-1282.70821476385,5313.623515637678,-11.069236057373594,257.5439461526169,337.2264699816759
2025-04,18266.928954755305,-5202.215030829012,-53050.938301742906,-4931.966196273021,-2903.609446001492,-4339.123531446659,-899.6978745993297,5793.700813838736,29.867370970504208,302.8405611641665,287.7677027941437
2025-05,16820.808608184812,-5257.715448164539,-54395.18641312212,-4520.3889800833695,-3075.2938219912403,-4638.177468280943,-729.8658886694072,5999.091486695038,57.811094758208895,296.6767453199924,256.4507232255285
2025-06,17359.284322881405,-2316.069113146513,-59442.642941763246,-2884.1273966385966,-2851.534098950518,-4806.856368657796,-1367.7648084429918,6569.308786103684,27.783402746884523,275.7677513807453,210.83522448062388
2025-07,22079.06624578095,827.9793776735215,-62719.14279500095,-715.1320332040631,-2524.777587741183,-4519.18077221049,-2390.2768781710697,6877.036695992119,2.2264231536295775,238.26541589464765,157.96663548197017
2025-08,27607.3241936367,1672.4411390242249,-68851.27114828795,711.4148038263863,-1004.9167789696658,-2094.2967232042797,-2830.3159477890076,7401.86460196831,4.928123580920903,266.7544105733027,85.46883892857507
