date,value
2021-01,28
2021-02,28
2021-03,26
2021-04,29
2021-05,42
2021-06,38
2021-07,57
2021-08,54
2021-09,81
2021-10,100
2021-11,60
2021-12,33
2022-01,44
2022-02,40
2022-03,34
2022-04,24
2022-05,25
2022-06,32
2022-07,33
2022-08,36
2022-09,53
2022-10,54
2022-11,53
2022-12,32
2023-01,27
2023-02,33
2023-03,29
2023-04,24
2023-05,28
2023-06,30
2023-07,37
2023-08,59
2023-09,83
2023-10,75
2023-11,50
2023-12,33
2024-01,28
2024-02,33
2024-03,26
2024-04,23
2024-05,35
2024-06,37
2024-07,63
2024-08,69
2024-09,56
2024-10,48
2024-11,48
2024-12,31
2025-01,28
2025-02,23
2025-03,26
2025-04,31
2025-05,30
2025-06,23
2025-07,39
2025-08,38
2025-09,34
2025-10,29
2025-11,35
2025-12,33
2026-01,29
2026-02,30
